"Label (Grouping)","United States!!Estimate","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"            Liberal Arts and History","73,090","62,161","72,353","67,364","54,419","85,322","79,610","96,365","82,662","129,043","65,708","73,911","65,938","63,668","80,281","59,049","61,022","62,326","60,849","64,100","61,775","84,040","84,584","62,529","64,808","55,523","57,205","59,535","72,325","69,517","77,383","85,444","64,813","82,357","64,167","67,951","61,944","61,580","61,765","68,792","94,419","66,915","59,414","62,138","71,242","77,780","69,812","90,471","81,591","56,737","62,263","64,212","25,740"
"            Visual and Performing Arts","62,092","61,390","53,456","61,640","49,025","68,764","62,476","70,172","58,368","69,861","53,509","60,738","72,576","64,302","58,987","49,345","50,386","56,117","58,404","54,723","49,012","69,227","70,183","59,827","64,374","46,989","55,893","50,644","52,360","46,425","64,007","74,960","48,281","66,088","59,988","56,709","53,272","46,282","51,716","63,200","68,632","50,391","23,815","55,745","58,248","61,928","49,613","67,033","75,123","57,332","59,908","49,232","21,308"
"            Communications","73,633","60,912","73,156","67,622","53,831","83,664","80,760","92,130","59,811","90,298","66,324","74,378","63,023","78,955","77,717","62,213","58,829","75,664","56,425","74,254","61,808","76,686","83,228","64,858","72,164","73,662","62,591","63,753","55,565","79,145","70,564","84,680","68,193","80,688","67,439","58,891","68,115","64,708","65,667","64,558","72,966","76,040","59,924","66,497","72,348","80,931","54,262","76,521","75,170","51,931","64,720","60,755","39,856"
"            Other","74,303","74,465","84,725","73,182","66,758","84,140","81,104","79,989","69,703","103,423","67,033","73,696","78,447","73,126","80,161","65,661","69,701","73,782","59,309","66,641","70,512","92,309","90,626","67,854","77,619","54,507","64,912","69,549","64,550","66,005","83,865","84,111","77,481","72,421","61,204","72,993","68,632","68,220","71,967","75,192","66,814","65,040","58,316","66,910","75,301","74,786","60,631","87,332","90,499","62,181","74,273","68,121","28,169"
"    Female:","63,235","53,542","67,455","59,617","52,128","76,678","63,017","72,323","62,664","91,772","54,312","61,625","62,112","50,965","65,672","54,812","57,412","54,892","53,758","53,508","55,728","77,489","76,370","60,997","66,789","48,608","56,184","52,111","58,739","60,404","65,151","74,322","57,399","72,213","57,025","54,681","61,804","51,279","63,545","63,326","66,331","52,705","52,358","53,954","61,720","52,912","60,294","70,535","72,296","51,815","59,324","54,451","29,010"
"        Science and Engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Computers, Mathematics and Statistics","81,871","65,879","58,867","82,279","72,986","103,322","80,678","82,929","47,461","132,512","69,516","81,643","60,639","73,528","76,045","70,886","71,297","72,023","51,355","65,017","67,837","104,932","100,181","73,217","87,873","48,187","64,854","64,487","84,085","73,371","85,846","90,919","77,386","77,041","70,459","80,588","79,806","63,915","81,016","80,544","63,229","54,070","46,789","65,370","76,039","64,574","74,724","87,236","106,124","59,558","67,445","83,785","26,804"
"            Biological, Agricultural, and Environmental Sciences","68,114","62,331","67,414","58,933","52,259","82,684","62,629","78,570","63,404","100,285","61,909","59,507","70,124","50,312","69,523","62,229","56,189","55,938","56,835","63,727","53,935","84,698","79,384","62,626","72,345","52,140","57,903","54,575","57,031","71,803","63,852","81,819","59,847","77,380","65,893","57,488","61,227","63,898","73,691","70,287","73,320","60,220","49,310","56,373","63,516","59,328","52,776","76,571","71,843","51,831","60,704","62,778","33,270"
"            Physical and Related Sciences","69,352","58,772","65,949","76,310","65,288","86,645","73,301","91,250","87,491","90,037","56,945","64,383","94,000","49,080","67,534","61,775","50,300","60,985","63,662","63,846","74,620","88,014","95,288","59,167","75,156","41,663","64,104","46,240","73,240","52,977","82,958","75,797","54,806","70,285","59,489","65,690","68,824","50,044","73,382","70,364","93,202","57,272","12,039","57,217","66,969","68,133","78,234","75,846","85,128","59,722","75,666","64,262","44,348"
"            Psychology","58,487","47,632","67,750","54,613","48,710","69,830","57,582","66,777","68,964","80,142","50,422","56,339","67,006","43,676","61,356","51,153","54,261","50,574","51,372","47,895","52,328","68,188","69,246","54,274","67,695","43,475","52,098","52,072","58,739","59,929","56,375","66,242","57,288","66,063","53,245","41,409","53,540","47,630","59,604","54,550","54,907","50,098","42,984","50,500","56,330","52,132","70,907","60,967","68,561","50,435","53,665","70,538","26,824"
"            Social Sciences","68,122","53,323","87,861","61,107","49,798","77,585","68,235","67,766","51,196","99,286","55,495","62,586","61,919","49,087","70,035","52,436","54,116","55,563","52,308","58,062","51,165","86,664","80,088","61,286","66,871","45,661","59,425","52,929","60,696","59,927","69,778","75,451","55,644","80,908","53,501","42,107","60,606","50,048","67,796","62,307","68,099","47,769","39,223","58,103","62,869","55,342","54,081","80,763","76,409","58,447","57,552","53,061","30,580"
"            Engineering","91,171","85,170","100,343","82,089","78,577","112,239","89,744","92,484","86,227","116,047","61,631","83,765","72,269","75,675","92,360","87,337","82,773","76,218","101,581","101,793","78,623","95,552","105,126","90,354","93,495","64,568","81,785","66,719","74,613","61,452","92,560","104,306","58,282","84,763","82,100","69,100","82,304","65,978","91,405","92,555","80,622","65,666","92,727","85,185","83,817","85,161","81,339","106,634","117,258","67,378","76,973","56,169","56,045"
